5.00000e-02		-2.87138e+00		4.32671e-04		
5.71429e-02		-2.87317e+00		4.24355e-04		
6.42857e-02		-2.87372e+00		4.16182e-04		
7.14286e-02		-2.87487e+00		4.08648e-04		
7.85714e-02		-2.87452e+00		4.00688e-04		
8.57143e-02		-2.87633e+00		3.94286e-04		
9.28571e-02		-2.87664e+00		3.87721e-04		
1.00000e-01		-2.87748e+00		3.80973e-04		
1.07143e-01		-2.87758e+00		3.75341e-04		
1.14286e-01		-2.87758e+00		3.69833e-04		
1.21429e-01		-2.87805e+00		3.64276e-04		
1.28571e-01		-2.87807e+00		3.59328e-04		
1.35714e-01		-2.87777e+00		3.54246e-04		
1.42857e-01		-2.87760e+00		3.49759e-04		
1.50000e-01		-2.87812e+00		3.45482e-04		
1.57143e-01		-2.87796e+00		3.41200e-04		
1.64286e-01		-2.87817e+00		3.37521e-04		
1.71429e-01		-2.87781e+00		3.33750e-04		
1.78571e-01		-2.87788e+00		3.30391e-04		
1.85714e-01		-2.87725e+00		3.27404e-04		
1.92857e-01		-2.87727e+00		3.24584e-04		
2.00000e-01		-2.87661e+00		3.21275e-04		
2.07143e-01		-2.87624e+00		3.19136e-04		
2.14286e-01		-2.87599e+00		3.16655e-04		
2.21429e-01		-2.87608e+00		3.14518e-04		
2.28571e-01		-2.87551e+00		3.12530e-04		
2.35714e-01		-2.87453e+00		3.10857e-04		
2.42857e-01		-2.87473e+00		3.09261e-04		
2.50000e-01		-2.87426e+00		3.07442e-04		
2.57143e-01		-2.87327e+00		3.06012e-04		
2.64286e-01		-2.87320e+00		3.04799e-04		
2.71429e-01		-2.87325e+00		3.03714e-04		
2.78571e-01		-2.87250e+00		3.02768e-04		
2.85714e-01		-2.87215e+00		3.02299e-04		
2.92857e-01		-2.87121e+00		3.01674e-04		
3.00000e-01		-2.87127e+00		3.00580e-04		
3.07143e-01		-2.87053e+00		3.00923e-04		
3.14286e-01		-2.87006e+00		3.00664e-04		
3.21429e-01		-2.86913e+00		3.00289e-04		
3.28571e-01		-2.86926e+00		3.00312e-04		
3.35714e-01		-2.86879e+00		3.00207e-04		
3.42857e-01		-2.86789e+00		3.00216e-04		
3.50000e-01		-2.86727e+00		3.00256e-04		
3.57143e-01		-2.86677e+00		3.00771e-04		
3.64286e-01		-2.86651e+00		3.01730e-04		
3.71429e-01		-2.86614e+00		3.01735e-04		
3.78571e-01		-2.86545e+00		3.02551e-04		
3.85714e-01		-2.86476e+00		3.03396e-04		
3.92857e-01		-2.86418e+00		3.04209e-04		
4.00000e-01		-2.86348e+00		3.04979e-04		
